Date,Currency,Mean,Buy,Sell
4/1/2024,KES / TSHS,15.9922,15.9207,16.0637
4/1/2024,SA RAND,8.3812,8.3591,8.4033
4/1/2024,EURO,172.2168,171.7535,172.68
4/1/2024,CAN $,117.8343,117.5238,118.1448
4/1/2024,KES / RWF,8.0026,7.9237,8.0814
4/1/2024,SW KRONER,15.3662,15.3263,15.406
4/1/2024,US DOLLAR,157.3912,157,157.7824
4/1/2024,S FRANC,184.4285,183.9269,184.9301
4/1/2024,NOR KRONER,15.1787,15.1387,15.2186
4/1/2024,KES / BIF,18.1018,17.9531,18.2504
4/1/2024,JPY (100),110.1215,109.8363,110.4068
4/1/2024,KES / USHS,24.2234,24.1155,24.3312
4/1/2024,AUSTRALIAN $,105.8299,105.5511,106.1086
4/1/2024,AE DIRHAM,42.8538,42.7409,42.9667
4/1/2024,STG POUND,198.9459,198.4182,199.4735
4/1/2024,IND RUPEE,1.8893,1.8844,1.8942
4/1/2024,SAUDI RIYAL,41.9676,41.8622,42.0731
4/1/2024,DAN KRONER,23.0471,22.9882,23.1061
4/1/2024,CHINESE YUAN,22.0166,21.9605,22.0727
4/1/2024,HONGKONG DOLLAR,20.1574,20.1073,20.2075
4/1/2024,SINGAPORE DOLLAR,118.4774,118.1606,118.7941
3/1/2024,STG POUND,199.0941,198.5876,199.6006
3/1/2024,SA RAND,8.4791,8.458,8.5003
3/1/2024,KES / TSHS,15.9863,15.9169,16.0558
3/1/2024,S FRANC,185.1738,184.694,185.6535
3/1/2024,AE DIRHAM,42.8354,42.728,42.9427
3/1/2024,KES / RWF,8.0086,7.9357,8.0815
3/1/2024,DAN KRONER,23.1146,23.0589,23.1702
3/1/2024,SW KRONER,15.4354,15.3955,15.4752
3/1/2024,KES / BIF,18.1096,17.9684,18.2508
3/1/2024,IND RUPEE,1.8885,1.8839,1.893
3/1/2024,JPY (100),110.7639,110.4991,111.0287
3/1/2024,KES / USHS,24.1098,24.0212,24.1983
3/1/2024,EURO,172.5774,172.1359,173.0188
3/1/2024,HONGKONG DOLLAR,20.1325,20.0851,20.1799
3/1/2024,US DOLLAR,157.3235,156.9529,157.6941
3/1/2024,CAN $,118.0399,117.7441,118.3357
3/1/2024,SINGAPORE DOLLAR,118.6453,118.33,118.9606
3/1/2024,NOR KRONER,15.2152,15.1754,15.255
3/1/2024,CHINESE YUAN,22.0227,21.9702,22.0752
3/1/2024,SAUDI RIYAL,41.9513,41.8497,42.0529
3/1/2024,AUSTRALIAN $,106.4294,106.163,106.6958
2/1/2024,KES / USHS,24.079,23.9727,24.1853
2/1/2024,AE DIRHAM,42.7427,42.6047,42.8806
2/1/2024,KES / TSHS,15.989,15.9077,16.0703
2/1/2024,KES / BIF,18.1491,17.9942,18.3039
2/1/2024,CAN $,118.4616,118.0776,118.8457
2/1/2024,KES / RWF,8.0279,7.949,8.1069
2/1/2024,EURO,173.65,173.0841,174.2159
2/1/2024,STG POUND,199.8497,199.2018,200.4976
2/1/2024,DAN KRONER,23.2213,23.1485,23.2941
2/1/2024,S FRANC,185.8256,185.1852,186.4661
2/1/2024,SW KRONER,15.5337,15.4813,15.5861
2/1/2024,NOR KRONER,15.417,15.3654,15.4685
2/1/2024,SA RAND,8.5805,8.5507,8.6104
2/1/2024,SINGAPORE DOLLAR,118.7709,118.3812,119.1605
2/1/2024,US DOLLAR,156.9853,156.5,157.4706
2/1/2024,JPY (100),110.979,110.632,111.326
2/1/2024,CHINESE YUAN,22.0327,21.9615,22.1039
2/1/2024,AUSTRALIAN $,107.1975,106.8269,107.5682
2/1/2024,SAUDI RIYAL,41.8616,41.7278,41.9955
2/1/2024,IND RUPEE,1.8841,1.8782,1.8901
2/1/2024,HONGKONG DOLLAR,20.0941,20.032,20.1562
29/12/2023,KES / TSHS,16.0744,15.9963,16.1526
29/12/2023,AE DIRHAM,42.599,42.4707,42.7273
29/12/2023,KES / USHS,24.1915,24.09,24.293
29/12/2023,SW KRONER,15.7408,15.6931,15.7884
29/12/2023,JPY (100),111.0013,110.6702,111.3323
29/12/2023,S FRANC,186.9094,186.3272,187.4917
29/12/2023,CAN $,118.3076,117.9495,118.6658
29/12/2023,STG POUND,199.8047,199.1971,200.4124
29/12/2023,KES / RWF,8.0466,7.9691,8.1241
29/12/2023,KES / BIF,18.2065,18.0551,18.358
29/12/2023,EURO,173.7797,173.2518,174.3076
29/12/2023,NOR KRONER,15.4172,15.3706,15.4639
29/12/2023,DAN KRONER,23.2213,23.1533,23.2893
29/12/2023,US DOLLAR,156.4618,156.0118,156.9118
29/12/2023,SA RAND,8.4402,8.4147,8.4658
29/12/2023,AUSTRALIAN $,107.0199,106.6964,107.3433
29/12/2023,IND RUPEE,1.8809,1.8749,1.8869
29/12/2023,SAUDI RIYAL,41.7243,41.6031,41.8454
29/12/2023,SINGAPORE DOLLAR,118.6756,118.2983,119.0529
29/12/2023,HONGKONG DOLLAR,20.023,19.9654,20.0806
29/12/2023,CHINESE YUAN,22.0453,21.9806,22.1099
28/12/2023,JPY (100),110.5287,110.2087,110.8487
28/12/2023,AE DIRHAM,42.4989,42.3746,42.6232
28/12/2023,NOR KRONER,15.4849,15.4394,15.5304
28/12/2023,IND RUPEE,1.8754,1.87,1.8807
28/12/2023,KES / USHS,24.1203,24.021,24.2196
28/12/2023,KES / RWF,8.0601,7.9832,8.137
28/12/2023,S FRANC,185.6828,185.1098,186.2558
28/12/2023,STG POUND,198.965,198.3735,199.5565
28/12/2023,SA RAND,8.5048,8.4767,8.5328
28/12/2023,SINGAPORE DOLLAR,118.4776,118.1113,118.844
28/12/2023,DAN KRONER,23.2594,23.1939,23.325
28/12/2023,EURO,172.6497,172.1394,173.16
28/12/2023,SW KRONER,15.7219,15.6737,15.7701
28/12/2023,US DOLLAR,156.0941,155.6588,156.5294
28/12/2023,KES / TSHS,16.1123,16.0353,16.1893
28/12/2023,CAN $,118.2576,117.9234,118.5919
28/12/2023,KES / BIF,18.2481,18.0979,18.3983
28/12/2023,HONGKONG DOLLAR,19.9798,19.9241,20.0355
28/12/2023,AUSTRALIAN $,106.8699,106.564,107.1757
28/12/2023,CHINESE YUAN,21.9593,21.8979,22.0207
28/12/2023,SAUDI RIYAL,41.6218,41.5035,41.7401
27/12/2023,KES / TSHS,16.1769,16.1064,16.2473
27/12/2023,JPY (100),109.0601,108.7907,109.3295
27/12/2023,AE DIRHAM,42.3314,42.2256,42.4373
27/12/2023,KES / BIF,18.3198,18.1767,18.4628
27/12/2023,KES / RWF,8.0883,8.0145,8.1621
27/12/2023,EURO,170.8435,170.4135,171.2735
27/12/2023,CAN $,117.8657,117.5557,118.1757
27/12/2023,SW KRONER,15.557,15.5165,15.5975
27/12/2023,S FRANC,182.146,181.6619,182.6301
27/12/2023,NOR KRONER,15.2912,15.2513,15.3312
27/12/2023,IND RUPEE,1.8668,1.8623,1.8714
27/12/2023,SA RAND,8.3567,8.3324,8.381
27/12/2023,STG POUND,197.1556,196.6712,197.64
27/12/2023,DAN KRONER,23.0235,22.968,23.0789
27/12/2023,KES / USHS,24.2041,24.1147,24.2935
27/12/2023,US DOLLAR,155.4706,155.1029,155.8382
27/12/2023,CHINESE YUAN,21.7502,21.6982,21.8023
27/12/2023,AUSTRALIAN $,106.1787,105.9198,106.4375
27/12/2023,SAUDI RIYAL,41.4494,41.3465,41.5524
27/12/2023,HONGKONG DOLLAR,19.9084,19.8613,19.9555
27/12/2023,SINGAPORE DOLLAR,117.5093,117.2092,117.8094
22/12/2023,EURO,170.0276,169.6559,170.3994
22/12/2023,SA RAND,8.462,8.4391,8.4849
22/12/2023,KES / BIF,18.3616,18.2196,18.5037
22/12/2023,CAN $,116.2646,115.9804,116.5488
22/12/2023,KES / USHS,24.2449,24.157,24.3328
22/12/2023,S FRANC,180.8892,180.4635,181.3148
22/12/2023,KES / RWF,8.0994,8.026,8.1728
22/12/2023,JPY (100),108.9733,108.7117,109.2348
22/12/2023,US DOLLAR,155.0853,154.7294,155.4412
22/12/2023,STG POUND,196.1426,195.6953,196.59
22/12/2023,KES / TSHS,16.1526,16.0833,16.2219
22/12/2023,SW KRONER,15.3807,15.3444,15.4171
22/12/2023,DAN KRONER,22.845,22.7909,22.8991
22/12/2023,IND RUPEE,1.8631,1.8586,1.8676
22/12/2023,AE DIRHAM,42.2265,42.1285,42.3246
22/12/2023,NOR KRONER,15.0753,15.0385,15.1121
22/12/2023,CHINESE YUAN,21.7185,21.6665,21.7705
22/12/2023,SINGAPORE DOLLAR,116.6889,116.3992,116.9786
22/12/2023,SAUDI RIYAL,41.3429,41.2469,41.4388
22/12/2023,AUSTRALIAN $,104.8609,104.6126,105.1093
22/12/2023,HONGKONG DOLLAR,19.857,19.8115,19.9026
21/12/2023,EURO,169.3268,168.9624,169.6912
21/12/2023,STG POUND,195.8265,195.3971,196.2559
21/12/2023,AE DIRHAM,42.1182,42.026,42.2104
21/12/2023,US DOLLAR,154.6853,154.3529,155.0176
21/12/2023,CAN $,115.9256,115.6548,116.1964
21/12/2023,KES / TSHS,16.259,16.1917,16.3262
21/12/2023,S FRANC,179.3973,179.0014,179.7931
21/12/2023,KES / RWF,8.1069,8.0315,8.1824
21/12/2023,IND RUPEE,1.8595,1.8552,1.8637
21/12/2023,SA RAND,8.4453,8.4264,8.4642
21/12/2023,DAN KRONER,22.7119,22.6623,22.7616
21/12/2023,SW KRONER,15.2547,15.2201,15.2894
21/12/2023,JPY (100),107.8886,107.653,108.1242
21/12/2023,KES / USHS,24.3076,24.223,24.3921
21/12/2023,SINGAPORE DOLLAR,116.3048,116.0199,116.5897
21/12/2023,KES / BIF,18.4087,18.2564,18.561
21/12/2023,CHINESE YUAN,21.6699,21.6211,21.7188
21/12/2023,HONGKONG DOLLAR,19.8137,19.7711,19.8562
21/12/2023,AUSTRALIAN $,104.6756,104.4352,104.9159
21/12/2023,NOR KRONER,15.0187,14.985,15.0524
21/12/2023,SAUDI RIYAL,41.2362,41.1454,41.327
20/12/2023,KES / TSHS,16.2904,16.2219,16.3589
20/12/2023,AE DIRHAM,42.0375,41.943,42.1319
20/12/2023,KES / RWF,8.1162,8.0221,8.2103
20/12/2023,KES / BIF,18.4314,18.2543,18.6085
20/12/2023,KES / USHS,24.387,24.3005,24.4735
20/12/2023,SW KRONER,15.1464,15.1105,15.1822
20/12/2023,JPY (100),107.0087,106.7601,107.2573
20/12/2023,S FRANC,178.7402,178.2918,179.1887
20/12/2023,CAN $,115.4165,115.1301,115.7028
20/12/2023,NOR KRONER,14.9149,14.8796,14.9501
20/12/2023,SA RAND,8.3556,8.3353,8.3758
20/12/2023,EURO,169.0453,168.6629,169.4276
20/12/2023,AUSTRALIAN $,104.0876,103.8257,104.3495
20/12/2023,SINGAPORE DOLLAR,115.9975,115.7182,116.2767
20/12/2023,US DOLLAR,154.3868,154.0441,154.7294
20/12/2023,STG POUND,196.4141,195.9694,196.8588
20/12/2023,CHINESE YUAN,21.6372,21.5854,21.689
20/12/2023,DAN KRONER,22.6933,22.6412,22.7453
20/12/2023,HONGKONG DOLLAR,19.7947,19.7508,19.8386
